Complete Meal,Ingredients,Quantities
String Hoppers with Coconut Sambol,"Rice flour, Coconut,  Chili,  Onion","85, 50.0, 15.0, 20.0"
String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices, curry leaves","85, 50.0, 20.0, 5.0, 3.0"
String Hoppers with Maalu Badun,"Rice flour, Fish,  Oil","85, 90.0, 15.0"
"Vegetable Fried Rice with Ginger Chicken, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies, Fish,  Potatoes,  Chillies","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Devilled Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Chili","100, 20, 20, 30.0, 3, 12.5, 20.0, 0.5, 5.0, 50.0, 5.0"
"Vegetable Fried Rice with Green Pea Curry, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Cashew,  Coconut milk,  Chillies","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Devilled Fish","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Fish,  Chili","100, 20, 20, 30.0, 3, 7.5, 20.0, 0.5, 5.0, 50.0, 5.0"
"Vegetable Fried Rice with Chicken Curry, Devilled Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Chili","100, 20, 20, 25.0, 8.0, 15.5, 100.0, 20.0, 5.0"
"Vegetable Fried Rice with Cashew Curry, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Parippu, Chicken Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken,  Coconut milk","100, 20, 20, 5, 8.0, 5.5, 10.0, 10.0, 5.0, 50.0, 20.0"
"Vegetable Fried Rice with Ala Badun, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, Fish,  Potatoes,  Chillies","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Fish,  Potatoes,  Chillies","100, 20, 20, 25.0, 3, 12.5, 50.0, 5.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Parippu, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Cashew,  Coconut milk,  Chillies","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Potato,  Oil","100, 20, 20, 55.0, 8.0, 7.5, 50.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Parippu, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder,  Potatoes,  Chillies","100, 50.0, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Tapioca,  Oil,  Salt","100, 20, 20, 25.0, 3, 7.5, 50.0, 5.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Fish Cutlets, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies, cheese,  pepper","100, 20, 20, 5, 3, 2.5, 30.0, 110.0, 10.0, 30.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Fish,  Potatoes,  Chillies","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Parippu, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Green pea,  Coconut milk,  Chillies","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Ginger Chicken, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Ala Badun, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, cheese,  Potatoes,  pepper","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Devilled Fish","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Fish,  Chili","100, 20, 20, 25.0, 8.0, 10.5, 50.0, 20.0, 50.0, 5.0"
"Vegetable Fried Rice with Devilled Fish, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 25.0, 3, 7.5, 50.0, 5.0, 50.0, 10.0"
"Vegetable Fried Rice with Green Pea Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Tapioca,  Oil,  Salt","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Chicken,  Ginger","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 20.0, 50.0, 25.0"
"Vegetable Fried Rice with Ala Badun, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, Tapioca,  Oil,  Salt","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Ginger","100, 20, 20, 25.0, 3, 12.5, 100.0, 15.0, 25.0"
"Vegetable Fried Rice with Devilled Fish, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Potatoes,  Chillies","100, 50.0, 20, 25.0, 3, 7.5, 50.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Potatoes,  Chillies","100, 50.0, 20, 5, 8.0, 5.5, 50.0, 20.0, 40.0, 10.0"
"Vegetable Fried Rice with Vegetable Cutlets, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves,  Potatoes,  Chillies, cheese,  pepper","100, 50.0, 20, 5, 3, 2.5, 100.0, 10.0, 30.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Chicken,  Ginger","100, 20, 20, 25.0, 3, 7.5, 50.0, 15.0, 50.0, 25.0"
"Vegetable Fried Rice with Wambatu Moju, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Ginger,  Chillies","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Green Pea Curry, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 50.0, 10.0"
"Vegetable Fried Rice with potatoe cheese Balls, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper,  leeks,  Jackfruit","100, 50.0, 20, 5, 3, 2.5, 30.0, 60.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, cheese,  Potatoes,  pepper","100, 20, 20, 25.0, 3, 12.5, 50.0, 5.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies,  Potatoes,  Chillies","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 40.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Tapioca,  Oil,  Salt","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Cashew,  Coconut milk","100, 20, 20, 25.0, 3, 12.5, 50.0, 15.0, 50.0, 25.0"
"Vegetable Fried Rice with Devilled Chicken, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Tapioca,  Oil,  Salt","100, 20, 20, 25.0, 3, 12.5, 50.0, 5.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Fish,  Potatoes,  Chillies","100, 20, 20, 25.0, 3, 7.5, 50.0, 5.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause,  Potatoes,  Chillies","100, 50.0, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Tapioca Chips, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 3, 2.5, 50.0, 20.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Ala Badun, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, Chicken,  Ginger,  Chillies","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Cashew,  Coconut milk","100, 20, 20, 25.0, 3, 7.5, 50.0, 15.0, 50.0, 25.0"
"Vegetable Fried Rice with Wambatu Moju, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Green pea,  Coconut milk,  Chillies","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Ala Badun, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, Green pea,  Coconut milk,  Chillies","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Parippu, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, cheese,  Potatoes,  pepper","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Potato,  Oil","100, 20, 20, 35.0, 13.0, 5.5, 50.0, 20.0, 40.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, cheese,  Potatoes,  pepper","100, 20, 20, 25.0, 3, 7.5, 50.0, 5.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Fish Cutlets, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies, Tapioca,  Oil","100, 20, 20, 5, 3, 2.5, 30.0, 50.0, 20.0, 50.0, 20.0"
"Vegetable Fried Rice with Chicken Curry, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Tapioca,  Oil,  Salt","100, 20, 20, 5, 8.0, 5.5, 50.0, 20.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 25.0, 3, 12.5, 50.0, 5.0, 50.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, cheese,  Potatoes,  pepper","100, 20, 20, 5, 8.0, 5.5, 50.0, 20.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Potato,  Oil","100, 20, 20, 40.0, 8.0, 2.5, 20.0, 0.5, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Ala Badun, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Ala Badun, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil,  Potatoes,  Chillies","100, 50.0, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 40.0, 10.0"
"Vegetable Fried Rice with Parippu, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Tapioca,  Oil,  Salt","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 8.0, 5.5, 50.0, 20.0, 50.0, 10.0"
"Vegetable Fried Rice with Devilled Fish, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili, Green pea,  Coconut milk","100, 20, 20, 25.0, 3, 7.5, 50.0, 15.0, 50.0, 25.0"
"Vegetable Fried Rice with Green Pea Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Parippu, Devilled Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken,  Chili","100, 20, 20, 25.0, 3, 12.5, 10.0, 10.0, 5.0, 50.0, 5.0"
"Vegetable Fried Rice with Parippu, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder,  leeks,  Jackfruit,  Potatoes,  pepper","100, 50.0, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 50.0, 10.0"
"Vegetable Fried Rice with Fish Cutlets, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100, 50.0, 20, 5, 3, 2.5, 30.0, 90.0, 20.0"
"Vegetable Fried Rice with Fish Cutlets, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies,  leeks,  Jackfruit,  pepper","100, 50.0, 20, 5, 3, 2.5, 30.0, 50.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Cashew,  Chillies","100, 20, 20, 5, 8.0, 5.5, 50.0, 45.0, 50.0, 10.0"
"Vegetable Fried Rice with Vegetable Cutlets, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves,  Potatoes,  Chillies, Tapioca,  Oil","100, 50.0, 20, 5, 3, 2.5, 40.0, 20.0, 50.0, 20.0"
"Vegetable Fried Rice with Ginger Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies,  Potatoes,  Chillies","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 40.0, 10.0"
"Vegetable Fried Rice with Ginger Chicken, Tapioca Chips","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies, Tapioca,  Oil,  Salt","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Devilled Fish","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Fish","100, 20, 20, 45.0, 3, 17.5, 50.0, 10.0, 50.0"
"Vegetable Fried Rice with Parippu, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Chicken,  Ginger,  Chillies","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Ginger Chicken, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies, cheese,  Potatoes,  pepper","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Green pea,  Chillies","100, 20, 20, 5, 8.0, 5.5, 50.0, 45.0, 50.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Green pea,  Coconut milk","100, 20, 20, 25.0, 3, 12.5, 50.0, 15.0, 50.0, 25.0"
"Vegetable Fried Rice with Parippu, Devilled Fish","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Fish,  Chili","100, 20, 20, 25.0, 3, 7.5, 10.0, 10.0, 5.0, 50.0, 5.0"
"Vegetable Fried Rice with Ala Badun, Cashew Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, Cashew,  Coconut milk,  Chillies","100, 20, 20, 35.0, 8.0, 2.5, 40.0, 10.0, 50.0, 25.0, 10.0"
"Vegetable Fried Rice with Parippu, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Potato,  Oil","100, 20, 20, 35.0, 8.0, 2.5, 10.0, 10.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Parippu, Wambatu Moju","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Eggplant,  Vinegar, tomato sause","100, 20, 20, 10.0, 3, 2.5, 10.0, 10.0, 5.0, 20.0, 0.5, 5.0"
"Vegetable Fried Rice with Wambatu Moju, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, cheese,  Potatoes,  pepper","100, 20, 20, 10.0, 3, 2.5, 20.0, 0.5, 5.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Cashew Curry, Green Pea Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies, Green pea","100, 20, 20, 5, 3, 2.5, 50.0, 50.0, 20.0, 50.0"
"Vegetable Fried Rice with Tapioca Chips, potatoe cheese Balls","Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt, cheese,  Potatoes,  pepper","100, 20, 20, 5, 3, 2.5, 50.0, 20.0, 10.0, 30.0, 60.0, 10.0"
"Vegetable Fried Rice with Vegetable Cutlets, Vegetable Balls","Rice, carrot, leeks, onion,  Spices, curry leaves,  Potatoes,  Chillies,  leeks,  Jackfruit,  pepper","100, 80.0, 20, 5, 3, 2.5, 40.0, 10.0, 50.0, 10.0"
"Vegetable Fried Rice with Green Pea Curry, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies,  Potatoes,  Chillies","100, 50.0, 20, 5, 3, 2.5, 50.0, 25.0, 10.0, 40.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk,  Ginger,  Chillies","100, 20, 20, 5, 8.0, 5.5, 100.0, 20.0, 25.0, 10.0"
"Vegetable Fried Rice with Chicken Curry, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk, Fish,  Potatoes,  Chillies","100, 20, 20, 5, 8.0, 5.5, 50.0, 20.0, 30.0, 50.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Vegetable Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Potatoes,  Chillies","100, 50.0, 20, 25.0, 3, 12.5, 50.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Devilled Chicken, Ala Badun","Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili, Potato,  Oil","100, 20, 20, 55.0, 8.0, 12.5, 50.0, 5.0, 40.0, 10.0"
"Vegetable Fried Rice with Wambatu Moju, Chicken Curry","Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause, Chicken,  Coconut milk","100, 20, 20, 10.0, 8.0, 5.5, 20.0, 0.5, 5.0, 50.0, 20.0"
"Vegetable Fried Rice with Green Pea Curry, Ginger Chicken","Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies, Chicken,  Ginger","100, 20, 20, 5, 3, 2.5, 50.0, 25.0, 20.0, 50.0, 25.0"
"Vegetable Fried Rice with Parippu, Fish Cutlets","Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder, Fish,  Potatoes,  Chillies","100, 20, 20, 5, 3, 2.5, 10.0, 10.0, 5.0, 30.0, 50.0, 10.0"
"Chicken Fried Rice with Tapioca Chips, potatoe cheese Balls","Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Tapioca,  Oil,  Salt, cheese,  Potatoes,  pepper","100, 50, 20, 20, 5, 5, 50.0, 20.0, 10.0, 30.0, 60.0, 10.0"
