Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids
Vegetable Fried Rice,Wambatu Moju,Vegetable Fried Rice with Wambatu Moju,"Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 20.0, 20.0, 10.0, 3.0, 2.5, 20.0, 0.5, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082"
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005"
Vegetable Fried Rice,Devilled Chicken,Vegetable Fried Rice with Devilled Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 10.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002"
Vegetable Fried Rice,Devilled Fish,Vegetable Fried Rice with Devilled Fish,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 5.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002"
Vegetable Fried Rice,Ala Badun,Vegetable Fried Rice with Ala Badun,"Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, chilli","100.0, 20.0, 20.0, 35.0, 3.0, 2.5, 40.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002"
Vegetable Fried Rice,Cashew Curry,Vegetable Fried Rice with Cashew Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002"
Vegetable Fried Rice,Green Pea Curry,Vegetable Fried Rice with Green Pea Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC007,  SLI005, SLK002"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Vegetable Fried Rice,Fish Cutlets,Vegetable Fried Rice with Fish Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Vegetable Fried Rice,Vegetable Cutlets,Vegetable Fried Rice with Vegetable Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLB006,  SLK002"
Vegetable Fried Rice,Tapioca Chips,Vegetable Fried Rice with Tapioca Chips,"Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Vegetable Fried Rice,potatoe cheese Balls,Vegetable Fried Rice with potatoe cheese Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLG002,  SLB006,  SLK018"
Vegetable Fried Rice,Vegetable Balls,Vegetable Fried Rice with Vegetable Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  leeks,  Jackfruit","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLD055,  SLD049,  SLB006,  SLK018"
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Wambatu Moju,Chicken Fried Rice with Wambatu Moju,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 20.0, 0.5, 5.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLD019, SLI017, , SLD082"
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005"
Chicken Fried Rice,Devilled Chicken,Chicken Fried Rice with Devilled Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK002"
Chicken Fried Rice,Devilled Fish,Chicken Fried Rice with Devilled Fish,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 5.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF006, SLK002"
Chicken Fried Rice,Ala Badun,Chicken Fried Rice with Ala Badun,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB006, SLJ002"
Chicken Fried Rice,Cashew Curry,Chicken Fried Rice with Cashew Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI004,  SLI005, SLK002"
Chicken Fried Rice,Green Pea Curry,Chicken Fried Rice with Green Pea Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLC007,  SLI005, SLK002"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Ginger","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012, SLK002"
Chicken Fried Rice,Fish Cutlets,Chicken Fried Rice with Fish Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Chicken Fried Rice,Vegetable Cutlets,Chicken Fried Rice with Vegetable Cutlets,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Carrot,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 40.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLB006,  SLK002"
Chicken Fried Rice,Tapioca Chips,Chicken Fried Rice with Tapioca Chips,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Tapioca,  Oil,  Salt","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Chicken Fried Rice,potatoe cheese Balls,Chicken Fried Rice with potatoe cheese Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, cheese,  Potatoes","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 60.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLG002,  SLB006,  SLK018"
Chicken Fried Rice,Vegetable Balls,Chicken Fried Rice with Vegetable Balls,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Carrot,  leeks","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 30.0, 50.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009,  SLD055,  SLD049,  SLB006,  SLK018"
Chicken Fried Rice,Ginger Chicken,Chicken Fried Rice with Ginger Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Ginger","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK012, SLK002"
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Wambatu Moju,Egg Fried Rice with Wambatu Moju,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Eggplant,  Vinegar, onion, tomato sause","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 20.0, 0.5, 5.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLD019, SLI017, , SLD082"
Egg Fried Rice,Chicken Curry,Egg Fried Rice with Chicken Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Coconut milk","100.0, 30.0, 10.0, 15.0, 3.0, 2.5, 20.0, 20.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLI005"
Egg Fried Rice,Devilled Chicken,Egg Fried Rice with Devilled Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Chili,  Curry leaves, Onion","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 5.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK002"
Egg Fried Rice,Devilled Fish,Egg Fried Rice with Devilled Fish,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Chili,  Curry leaves, Onion","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 5.0, 5.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF006, SLK002"
Egg Fried Rice,Ala Badun,Egg Fried Rice with Ala Badun,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Potato,  Oil, onion, chilli","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 40.0, 10.0, 30.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB006, SLJ002"
Egg Fried Rice,Cashew Curry,Egg Fried Rice with Cashew Curry,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Cashew,  Coconut milk,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLI004,  SLI005, SLK002"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Egg Fried Rice,Fish Cutlets,Egg Fried Rice with Fish Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Fish,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 50.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLF034,  SLB006,  SLK002"
Egg Fried Rice,Vegetable Cutlets,Egg Fried Rice with Vegetable Cutlets,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Carrot,  Potatoes,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 40.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLB006,  SLK002"
Egg Fried Rice,Tapioca Chips,Egg Fried Rice with Tapioca Chips,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Tapioca,  Oil,  Salt,  chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 20.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLB011,  SLJ002,  SLK002"
Egg Fried Rice,potatoe cheese Balls,Egg Fried Rice with potatoe cheese Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, cheese,  Potatoes,  pepper","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 60.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLG002,  SLB006,  SLK018"
Egg Fried Rice,Vegetable Balls,Egg Fried Rice with Vegetable Balls,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Carrot,  leeks,  Jackfruit,  Potatoes","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 30.0, 50.0, 10.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055,  SLD055,  SLD049,  SLB006,  SLK018"
Egg Fried Rice,Ginger Chicken,Egg Fried Rice with Ginger Chicken,"Rice,  Egg,  onion,  Spices, curry leaves, carrort, leeks, Chicken,  Ginger,  Chillies","100.0, 30.0, 10.0, 5.0, 3.0, 2.5, 20.0, 20.0, 50.0, 25.0","SLA008, SLH001, SLD060, SLK006, SLK009, SLB002, SLD055, SLH006, SLK012, SLK002"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLI005"
Seafood Fried Rice,Chicken Curry,Seafood Fried Rice with Chicken Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Coconut milk,  Spices","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLI005"
Seafood Fried Rice,Devilled Chicken,Seafood Fried Rice with Devilled Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLK002"
Seafood Fried Rice,Devilled Fish,Seafood Fried Rice with Devilled Fish,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 5.0, 5.0, 20.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLK002"
Seafood Fried Rice,Ala Badun,Seafood Fried Rice with Ala Badun,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Potato,  Oil, onion, chilli","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB006, SLJ002"
Seafood Fried Rice,Cashew Curry,Seafood Fried Rice with Cashew Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002"
Seafood Fried Rice,Octopus Curry,Seafood Fried Rice with Octopus Curry,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Octopus,  Coconut milk,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF042,  SLI005, SLK002"
Seafood Fried Rice,Ginger Chicken,Seafood Fried Rice with Ginger Chicken,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 25.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLH006, SLK012, SLK002"
Seafood Fried Rice,Fish Cutlets,Seafood Fried Rice with Fish Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 50.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002"
Seafood Fried Rice,Vegetable Cutlets,Seafood Fried Rice with Vegetable Cutlets,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 40.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB002,  SLB006,  SLK002"
Seafood Fried Rice,Tapioca Chips,Seafood Fried Rice with Tapioca Chips,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 50.0, 20.0, 10.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002"
Seafood Fried Rice,potatoe cheese Balls,Seafood Fried Rice with potatoe cheese Balls,"Rice, shrimp, crab,  Oninon, Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 10.0, 10.0, 5.0, 3.0, 2.0, 30.0, 60.0, 10.0","SLA008, SLI015, SLF045, SLF006, , SLD060, SLK006, SLK009, SLG002,  SLB006,  SLK018"
