Breakfast,Lunch,Dinner,Combined Ingredients,Total Energy (Kcal),Total Protein (g),Total Fat (g),Total Carbohydrates (g),Total Magnesium (mg),Total Sodium (mg),Total Potassium (mg),Total Saturated Fatty Acids (mg),Total Monounsaturated Fatty Acids (mg),Total Polyunsaturated Fatty Acids (mg),Total Free Sugar (g),Total Starch (g)
Coconut Roti with Chicken Curry,"Red Rice with Dhal Curry, Banana Blossom Curry, Bitter Leaf Curry, Jaffna Crab Curry",Seafood Kottu with Devilled Fish," Prawn,  Chili, Bitter leaves,  Fish, Termeric powder,  leeks, Coconut, Banana blossom, Dhal,  Chillies, Fish, Crab, Onion, Chicken,  Carrot, Chilli,  Coconut milk,  Spices,  Curry leaves, Red rice, Flour,  Flour",1417.7,64.986,74.589,188.12,803.494,231.851,4789.468,37262.245,12578.583,5320.129000000001,11.934999999999999,159.344
Coconut Roti with Malu Mirisata,"Red Rice with Chicken Curry, Parippu, Bathala Curry, Jaffna Crab Curry","Red Rice with Beetroot Curry, Kohila Curry, Beetroot curry","Fish, Kohila, Chicken, Coconut,  Chili, Dhal,  Coconut milk,  Spices, Crab, curry leaves, Red rice,  Chillies, Beetroot, Sweet potato,  curry leaves,  Flour, Termeric powder",1417.8,70.571,94.07300000000001,167.228,851.178,286.004,5172.576,50284.832,13864.806,5813.564,15.603000000000002,137.691
"Red Rice with Dhal Curry, Bitter Gourd Salad, Kochchi Sambol","Red Rice with Brinjal Moju, Green Gram Curry, Pineapple Curry, Lotus Root Curry","Red Rice with Devilled Chicken, Bitter Gourd Salad, Pumpkin Leaves Curry"," Chili,  Coconut, Termeric powder, Dhal, Bitter gourd,  Chillies, Eggplant, Green chili,  Onion, Pumpkin leaves, Onion, Lotus root,  Vinegar, Chicken,  Coconut milk,  Spices, Green gram,  Curry leaves, Red rice, Pineapple",1422.8000000000002,59.284000000000006,100.5,176.04,755.904,114.98400000000001,5024.4,54639.36,14339.836,5785.66,16.792,139.82799999999997
"Red Rice with Chicken Curry, Elumas Curry, Pineapple Curry, Dry Fish Curry, Gotu Kola Sambol","Red Rice with Banana Blossom Curry, Cabbage Mallung, Okra Curry, Coconut Sambol",Kottu Roti with Devilled Fish," Chili, Chilli Powder, Cabbage, Dry fish, Banana blossom, carrot, curry leaves,  Chillies, leeks,  Chicken, Gotu Kola, Fish, Okra, Goat,  Onion, Roti, Onion, Chicken, Coconut Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Pineapple",1427.8999999999999,60.639,106.33200000000001,125.326,722.3320000000001,189.067,3886.476,37526.471999999994,13062.388,4674.946,14.456000000000001,99.631
"Red Rice with Mustard Greens Curry, Jaffna Crab Curry, Sprats Fry","Red Rice with Beetroot Curry, Brinjal Moju, Leeks Curry, Bitter Leaf Curry, Vegetable Cutlets",String Hoppers with Prawn Curry," Vinegar, Carrot,  Oil, Leeks, Bitter leaves,  Coconut milk, Mustard greens,  Spices, Crab,  Chillies, Red rice, Beetroot, curry leaves, Eggplant, Dried fish,  Potatoes, Prawn, Rice flour",1428.0500000000002,56.2825,79.478,155.424,473.4045,405.27250000000004,2775.532,19581.634000000002,6952.523499999999,3871.036,9.429999999999998,133.7035
"Red Rice with Prawn Curry, Kappa Masala, Indian Fish Curry","Red Rice with Mustard Greens Curry, Jaffna Crab Curry, Sprats Fry","Red Rice with Spinach Curry, Pumpkin Leaves Curry, Seeni Sambol","Fish,  Oil,  Sugar,  Coconut milk, Mustard greens,  Spices, Crab,  Chillies, Red rice, Cassava, Spinach, Dried fish, Pumpkin leaves, Onion,  Coconut, Prawn",1430.0,48.624,79.268,168.0,358.73199999999997,328.2,2344.4,19714.88,7140.6759999999995,3204.0240000000003,45.144,95.44399999999999
"Red Rice with Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry","Red Rice with Beetroot Curry, Malu Mirisata, Tropical Salad, Ginger Chicken",Seafood Kottu with Devilled Fish," Prawn,  Chili,  Pineapple,  Apple,  Ginger,  Fish, Carrot, Mango,  leeks,  Chillies, curry leaves, Fish, Crab, Beetroot, Spinach, Onion, Chicken,  Carrot,  Cucumber, Chilli,  Coconut milk,  Spices,  Curry leaves, Red rice, Flour, Pineapple",1435.3,77.53,78.20100000000001,171.412,842.4019999999999,376.003,4974.299999999999,37256.709,13018.690999999999,5544.429,27.663,126.804
"Red Rice with Bathala Curry, Ulundu Wade, Coconut Sambol, Sinhala Achcharu, Ginger Chicken","Red Rice with Banana Blossom Curry, Cabbage Mallung, Okra Curry, Coconut Sambol","Red Rice with Octopus Curry, Gotu Kola Sambol, Sinhala Achcharu"," Chili, Sweet potato, Cabbage,  Ginger,  Coconut, Carrot, Octopus, Banana blossom, curry leaves,  Chillies,  green chillies,  flour, Gotu Kola, Okra,  Onion,  Vinegar, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Urad",1455.2,65.11200000000001,99.88000000000001,174.18,757.6519999999999,278.744,4386.8,54255.376000000004,14203.815999999999,5449.352,17.556,116.604
Kurakkan Roti with Fish Ambul Thiyal,"Red Rice with Fish Ambul Thiyal, Egg Curry, Dry Fish Curry, Jackfruit Mallum","Red Rice with Bitter Gourd Curry, Bottle Gourd Curry, Tropical Salad","Bottle gourd,  Pineapple,  Apple,  Coconut, Dry fish,  Goraka, Mango, Bitter gourd,  Chillies, Fish, Egg, Jackfruit,  Carrot,  Cucumber, Millet,  Coconut milk,  Spices, Red rice,  Flour",1461.2,54.932,88.292,176.07600000000002,1013.8879999999999,357.484,4908.4,40726.424,19257.696,8460.511999999999,22.276,132.224
"Red Rice with Fish Ambul Thiyal, Egg Curry, Dry Fish Curry, Jackfruit Mallum","Red Rice with Leeks Curry, Pumpkin Leaves Curry, Prawn Curry, Beef Curry","Red Rice with Thalapath Fish Curry, Dry Fish Curry, Gotu Kola Sambol, Cucumber Sambol, Shrimp Cutlets","Cucumber,  pepper,  Coconut, Dry fish,  Goraka, Shrimp,  Chillies,  Potatoes, Prawn,  flour, Gotu Kola, Fish, Leeks, Thalapath fish, Beef, Egg, Pumpkin leaves,  Onion, Jackfruit,  Coconut milk,  Spices, Red rice",1493.2,89.976,83.592,163.864,749.56,415.228,4275.6,41615.712,16556.8,6913.271999999999,13.332,135.324
"Red Rice with Gotu Kola Sambol, Leeks Curry, Sinhala Achcharu","Red Rice with Mango Curry, Mustard Greens Curry, Beetroot curry","Red Rice with Dhal Curry, Malu Mirisata, Bitter Gourd Salad, Green Gram Curry, Tropical Salad"," chillies,  Chili, Mustard greens,  Pineapple,  Apple,  Coconut, Termeric powder, Carrot, Mango, Dhal, Bitter gourd,  Chillies, curry leaves, Gotu Kola, Fish, Leeks, Beetroot,  curry leaves,  Onion,  Vinegar,  Carrot,  Cucumber,  Coconut milk,  Spices, Green gram, Red rice",1493.6,63.583999999999996,98.22,191.03199999999998,869.4639999999999,231.56,5668.0,54667.568,14070.604,6283.576,29.428,140.86399999999998
"Red Rice with Fenugreek Curry, Mint Sambol, Tender Jackfruit Fry","Red Rice with Drumstick Curry, Jaffna Crab Curry, Coconut Sambol",Pol Roti with Malu Mirisata,"Fish, Fenugreek, Jackfruit,  Oil, Coconut,  Chili,  pepper,  Coconut milk, Drumstick,  Spices, Crab,  Chillies, Red rice, Mint,  curry leaves,  Onion,  Flour",1502.0000000000002,61.165,98.85199999999999,149.038,562.0029999999999,222.075,3511.2,31946.753999999997,7892.334000000001,4714.28,9.548,103.18599999999999
Kurakkan Roti with Fish Curry,"Red Rice with Eggplant Curry, Bitter Gourd Salad, Seer Fish Curry, Fish Cutlets",Pol Roti with Parippu,"Fish, Coconut, Dhal, Bitter gourd, Millet,  Coconut milk,  Spices, curry leaves, Red rice,  Chillies, Eggplant,  Potatoes,  Onion, Seer fish,  Flour, Termeric powder",1503.6,74.1,98.64399999999999,184.50400000000002,765.444,154.736,4755.6,55399.288,14460.732,5820.376,13.716000000000001,154.1
"Red Rice with Dhal Curry, Banana Blossom Curry, Bitter Leaf Curry, Jaffna Crab Curry","Red Rice with Murunga Curry, Seer Fish Curry, Capsicum Curry, Kappa Masala",Seafood Kottu with Devilled Fish," Prawn,  Chili, Bitter leaves, Drumstick,  Fish,  Coconut, Termeric powder,  leeks, Banana blossom, Dhal,  Chillies, Fish, Capsicum, Crab, Cassava, Onion, Seer fish,  Carrot, Chilli,  Coconut milk,  Spices,  Curry leaves, Red rice, Flour",1513.3,70.61,73.89699999999999,207.484,865.6139999999999,371.219,5375.5,37976.481,12778.743,6035.285,13.123,160.90000000000003
"Red Rice with Chicken Curry, Beetroot Curry, Carrot Curry, Bitter Leaf Curry, Seer Fish Curry","Red Rice with Thalapath Fish Curry, Bitter Leaf Curry, Mint Sambol, Kiri Hodi, Ginger Chicken",Pol Roti with Malu Mirisata," Chili,  pepper, Bitter leaves,  Ginger,  Coconut, Carrot, Coconut, curry leaves,  Chillies, Fish, Thalapath fish, Beetroot, Mint,  curry leaves, Seer fish, Chicken,  Coconut milk,  Spices, Red rice,  Flour",1518.8,91.533,99.992,159.058,771.231,223.69899999999998,4897.6,51414.85399999999,14860.05,6195.104,14.936000000000002,107.49399999999999
Coconut Roti with Fish Ambul Thiyal,"Red Rice with Jackfruit Curry, Beetroot Curry, Octopus Curry, Prawn Curry, Vegetable Balls","Red Rice with Fish Curry, Cashew Curry, Egg Curry, Beetroot curry"," pepper,  Goraka, Octopus, Carrot,  leeks, Coconut, curry leaves,  Chillies,  Potatoes, Prawn, Fish, Beetroot, Egg, Cashew, Jackfruit,  Jackfruit,  Coconut milk,  Spices, Red rice,  Flour",1541.2,75.217,119.16300000000001,136.01,1021.441,470.571,4684.076,54962.5,29980.167999999998,9997.504,18.678,104.85300000000001
"Red Rice with Murunga Curry, Fish Patties, Prawn Curry","Red Rice with Gotu Kola Sambol, Bitter Gourd Salad, Dhal Vade, Polos Mallum, Tropical Salad",Coconut Roti with Seeni Sambol," chillii, Drumstick,  Pineapple,  Apple,  Coconut, Mango, Coconut, Bitter gourd,  Chillies, Prawn, Lentils, Gotu Kola, Fish,  chillie,  Onion, Onion, Jackfruit,  Oil,  Carrot,  Cucumber,  Sugar,  Coconut milk,  Spices, Red rice,  Flour",1541.5,51.269999999999996,96.231,178.796,465.95500000000004,201.733,3227.876,31874.238999999998,7678.9619999999995,3459.869,53.461,109.64300000000001
"Red Rice with Bean Curry, Coconut Sambol, Beetroot curry","Red Rice with Bitter Gourd Curry, Bottle Gourd Curry, Seer Fish Curry, Prawn Curry, Indian Fish Curry","Red Rice with Pineapple Curry, Sesame Seed Sambol, Pineapple Pickle","Fish,  chillies,  Chili,  pepper, Bitter gourd,  Coconut milk,  Spices, Beetroot, Red rice, curry leaves, Beans, Bottle gourd,  Chillies, Pineapple, Sesame seed,  Onion, Seer fish, Prawn",1542.8,70.116,124.77600000000001,143.876,822.076,239.85999999999999,4308.0,55554.191999999995,18795.592,6369.04,18.224,103.52000000000001
"Red Rice with Leeks Curry, Pumpkin Leaves Curry, Prawn Curry, Beef Curry","Red Rice with Green Pea Curry, Egg Curry, Mint Sambol, Jaffna Crab Curry, Kappa Masala",Coconut Roti with Fish Curry," pepper, Green pea,  Coconut, Coconut,  Chillies, curry leaves, Prawn, Fish, Leeks, Beef, Crab, Egg, Cassava, Mint, Pumpkin leaves,  Coconut milk,  Spices, Red rice,  Flour",1542.8000000000002,89.955,80.51599999999999,194.578,616.531,386.751,3959.96,43438.044,12927.836,5156.0,8.95,136.853
"Red Rice with Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry","Red Rice with Ala Badun, Fish Patties, Cauliflower Pickle",Kurakkan Roti with Lunu Miris,"Potato,  Garlic, Cauliflower, chilli,  Chili, Carrot, onion,  Chillies, Fish, Crab, Spinach, Pineapple, Onion, Lime, Chicken,  Oil,  Coconut milk, Millet,  Spices, Red rice,  Salt,  Flour",1543.6,56.480000000000004,87.78,162.252,594.62,270.308,3660.0,19469.132,11308.86,4005.6240000000003,15.064,132.59199999999998
"Red Rice with Cabbage Mallung, Carrot Curry, Okra Curry, Tapioca Chips","Red Rice with Devilled Chicken, Green Banana Curry, Fish Patties, Jaffna Crab Curry, potatoe cheese Balls","Red Rice with Dhal Curry, Bitter Gourd Salad, Kochchi Sambol"," Chili,  pepper, Cabbage,  Coconut, Termeric powder, Carrot, Green banana, Dhal, Bitter gourd,  Chillies,  Potatoes, Fish, Tapioca, Okra, Crab, Green chili,  Onion, Onion, cheese, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice,  Salt,  Flour",1546.8,76.696,86.99199999999999,181.56799999999998,766.36,787.076,4959.6,37621.732,12956.168000000001,5576.544,13.088,146.416
"Red Rice with Cashew Curry, Kohila Curry, Capsicum Curry, Pumpkin curry","Red Rice with Beetroot Curry, Fish Curry, Fenugreek Curry, Beetroot curry","Red Rice with Bottle Gourd Curry, Pumpkin Leaves Curry, Mango Chutney","Fish, Kohila, Fenugreek, Mango,  Vinegar,  Coconut milk, Capsicum,  Spices,  Chillies, Red rice, curry leaves, Beetroot, Bottle gourd, Pumpkin leaves,  sugar, Pumpkin, Cashew",1550.3999999999999,65.44,108.492,182.404,738.144,259.572,3885.6000000000004,56657.032,21121.968,8244.384,57.900000000000006,110.852
"Red Rice with Beetroot Curry, Brinjal Moju, Leeks Curry, Bitter Leaf Curry, Vegetable Cutlets","Red Rice with Potato Curry, Ginger Chicken, Radish Sambol",Coconut Roti with Cuttlefish Curry,"Potato,  pepper, Bitter leaves, Turmeric Powder, Radish,  Ginger, Cuttlefish, Carrot, Coconut, curry leaves,  Chillies, Eggplant,  Potatoes, Leeks, Beetroot,  Vinegar, Chicken,  Coconut milk,  Spices, Red rice,  Flour",1555.2,63.830999999999996,118.8265,174.257,1002.6859999999999,214.5765,5807.656,61392.693999999996,20710.3165,7043.064,18.473499999999998,136.8315
"Red Rice with Devilled Fish, Chickpea Curry, Ginger Chicken","Red Rice with Cabbage Mallung, Carrot Curry, Okra Curry, Tapioca Chips","Red Rice with Gotu Kola Sambol, Leeks Curry, Sinhala Achcharu"," Chili, Cabbage,  Ginger,  Coconut, Carrot,  Chillies, Gotu Kola, Fish, Chickpea, Tapioca, Leeks, Okra,  Onion, Onion,  Vinegar, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice,  Salt",1556.8,47.652,132.72,149.036,557.664,159.51600000000002,3575.6000000000004,53689.2,9894.656,4387.7919999999995,17.56,108.36
"Red Rice with Bitter Leaf Curry, Seer Fish Curry, Polos Ambula","Red Rice with Murunga Curry, Sesame Seed Sambol, Octopus Curry, Fish Curry, Jackfruit Mallum",Kottu Roti with Devilled Chicken," Chili, Bitter leaves, Drumstick, Chilli Powder, Octopus, carrot,  Chillies, curry leaves, leeks,  Chicken, Fish,  curry leaves,  Onion, Roti, Seer fish, Onion, Jackfruit, Coconut Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed",1557.1,73.04299999999999,117.85600000000001,123.88999999999999,616.248,236.023,3614.876,37348.047999999995,8689.928,4555.650000000001,11.804,92.863
"Red Rice with Leeks Curry, Pumpkin Leaves Curry, Prawn Curry, Beef Curry","Red Rice with Snake Gourd Curry, Jaffna Crab Curry, Carrot Sambol","Red Rice with Dhal Curry, Carrot Curry, Radish Sambol, Seeni Sambol","Carrot, Leeks,  chillii, Dhal,  pepper,  Sugar,  Coconut milk, Beef,  Spices,  Chillies, Red rice, Crab, Termeric powder, Radish, Pumpkin leaves, Onion, Prawn, Snake gourd",1558.4,66.888,75.596,222.18,732.1479999999999,355.736,5188.0,38493.94,13995.248,5831.856,53.507999999999996,149.228
"Red Rice with Devilled Chicken, Banana Blossom Curry, Pineapple Curry, Spinach Curry",Roast Bread with Tender Jackfruit Fry,"Red Rice with Devilled Chicken, Ginger Chicken, Gotu Kola Sambol","Chicken,  Oil, Banana blossom,  Chili,  Coconut milk,  Spices,  Curry leaves, Red rice, Spinach,  sugar,  Ginger, Flour, Onion,  Coconut, Pineapple, Gotu Kola",1562.3999999999999,54.480000000000004,119.67099999999999,137.149,576.712,148.48499999999999,3544.7,36630.486000000004,8638.212,3832.6589999999997,14.393999999999998,110.164
"Red Rice with Carrot Curry, Ash Plantain Curry, Murukku","Red Rice with Beetroot Curry, Drumstick Curry, Octopus Curry, Carrot Sambol, Cucumber Sambol","Red Rice with Sweet Corn Curry, Gotu Kola Sambol, Batu Moju","Cucumber,  pepper, Drumstick,  Coconut,  garlic, Carrot, Octopus,  Chillies, curry leaves, flour, Eggplant, Gotu Kola, Ash plantain, Beetroot, Sweet corn,  Onion,  Coconut milk,  Spices, Red rice",1566.4,46.672,135.24,145.04399999999998,675.856,264.212,4063.2,53777.899999999994,13932.736,5082.567999999999,19.192,109.50800000000001
