commodity,market,unit,priceflag,pricetype,currency,lower_price,upper_price,price,scraped_content
Asparagus,Colombo City,KG,actual,Retail,LKR,775.6,2147.82,1461.71,"the retail price range in sri lanka rupee for asparagus is between lkr 775.60 and lkr 2,147.82 per kilogram or between lkr 351.75 and lkr 974.07 per pound(lb) in colombo and jaffna."
Aubergines (eggplants),Colombo City,KG,actual,Retail,LKR,301.94,1204.73,753.34,"the retail price range in sri lanka rupee for aubergines (eggplants) is between lkr 301.94 and lkr 1,204.73 per kilogram or between lkr 136.93 and lkr 546.36 per pound(lb) in colombo and jaffna."
Avocados,Colombo City,KG,actual,Retail,LKR,1346.6,1522.24,1434.42,"the retail price range in sri lanka rupee for avocados is between lkr 1,346.60 and lkr 1,522.24 per kilogram or between lkr 610.70 and lkr 690.36 per pound(lb) in colombo and jaffna."
Bambara beans,Colombo City,KG,actual,Retail,LKR,1419.45,2390.65,1905.05,"the retail price range in sri lanka rupee for bambara beans is between lkr 1,419.45 and lkr 2,390.65 per kilogram or between lkr 643.74 and lkr 1,084.19 per pound(lb) in colombo and jaffna."
Bamboo shoots,Colombo City,KG,actual,Retail,LKR,2613.93,3813.23,3213.58,"the retail price range in sri lanka rupee for bamboo shoots is between lkr 2,613.93 and lkr 3,813.23 per kilogram or between lkr 1,185.46 and lkr 1,729.36 per pound(lb) in colombo and jaffna."
Bamboo,Colombo City,KG,actual,Retail,LKR,952.71,2977.23,1964.97,"the retail price range in sri lanka rupee for bamboo is between lkr 952.71 and lkr 2,977.23 per kilogram or between lkr 432.07 and lkr 1,350.22 per pound(lb) in colombo and jaffna."
Bananas,Colombo City,KG,actual,Retail,LKR,209.89,449.77,329.83,the retail price range in sri lanka rupee for bananas is between lkr 209.89 and lkr 449.77 per kilogram or between lkr 95.19 and lkr 203.98 per pound(lb) in colombo and jaffna.
Barley,Colombo City,KG,actual,Retail,LKR,262.51,427.68,345.1,the retail price range in sri lanka rupee for barley is between lkr 262.51 and lkr 427.68 per kilogram or between lkr 119.05 and lkr 193.96 per pound(lb) in colombo and jaffna.
Bean sprouts,Colombo City,KG,actual,Retail,LKR,606.34,1364.26,985.3,"the retail price range in sri lanka rupee for bean sprouts is between lkr 606.34 and lkr 1,364.26 per kilogram or between lkr 274.98 and lkr 618.71 per pound(lb) in colombo and jaffna."
Beans,Colombo City,KG,actual,Retail,LKR,151.29,680.82,416.06,the retail price range in sri lanka rupee for beans is between lkr 151.29 and lkr 680.82 per kilogram or between lkr 68.61 and lkr 308.76 per pound(lb) in colombo and jaffna.
Beef,Colombo City,KG,actual,Retail,LKR,210.82,330.86,270.84,the retail price range in sri lanka rupee for beef is between lkr 210.82 and lkr 330.86 per kilogram or between lkr 95.61 and lkr 150.05 per pound(lb) in colombo and jaffna.
Beer,Colombo City,KG,actual,Retail,LKR,304.65,403.21,353.93,the retail price range in sri lanka rupee for beer is between lkr 304.65 and lkr 403.21 per kilogram or between lkr 138.16 and lkr 182.86 per pound(lb) in colombo and jaffna.
Beeswax,Colombo City,KG,actual,Retail,LKR,2207.77,3164.47,2686.12,"the retail price range in sri lanka rupee for beeswax is between lkr 2,207.77 and lkr 3,164.47 per kilogram or between lkr 1,001.26 and lkr 1,435.13 per pound(lb) in colombo and jaffna."
Beet pulp,Colombo City,KG,actual,Retail,LKR,825.34,2476.02,1650.68,"the retail price range in sri lanka rupee for beet pulp is between lkr 825.34 and lkr 2,476.02 per kilogram or between lkr 374.30 and lkr 1,122.91 per pound(lb) in colombo and jaffna."
"beetroot, salsify & celeriac",Colombo City,KG,actual,Retail,LKR,953.6,1490.0,1221.8,"the retail price range in sri lanka rupee for beetroot, salsify & celeriac is between lkr 953.60 and lkr 1,490.00 per kilogram or between lkr 432.47 and lkr 675.74 per pound(lb) in colombo and jaffna."
Beets,Colombo City,KG,actual,Retail,LKR,453.42,755.69,604.56,the retail price range in sri lanka rupee for beets is between lkr 453.42 and lkr 755.69 per kilogram or between lkr 205.63 and lkr 342.72 per pound(lb) in colombo and jaffna.
Black beans,Colombo City,KG,actual,Retail,LKR,1024.8,1317.6,1171.2,"the retail price range in sri lanka rupee for black beans is between lkr 1,024.80 and lkr 1,317.60 per kilogram or between lkr 464.76 and lkr 597.55 per pound(lb) in colombo and jaffna."
Black Tea,Colombo City,KG,actual,Retail,LKR,3889.74,7428.52,5659.13,"the retail price range in sri lanka rupee for black tea is between lkr 3,889.74 and lkr 7,428.52 per kilogram or between lkr 1,764.05 and lkr 3,368.94 per pound(lb) in colombo and jaffna."
Blackberries,Colombo City,KG,actual,Retail,LKR,1272.99,2045.12,1659.05,"the retail price range in sri lanka rupee for blackberries is between lkr 1,272.99 and lkr 2,045.12 per kilogram or between lkr 577.32 and lkr 927.49 per pound(lb) in colombo and jaffna."
Blue Mussel,Colombo City,KG,actual,Retail,LKR,2660.49,4904.82,3782.65,"the retail price range in sri lanka rupee for blue mussel is between lkr 2,660.49 and lkr 4,904.82 per kilogram or between lkr 1,206.57 and lkr 2,224.41 per pound(lb) in colombo and jaffna."
Blue Whiting,Colombo City,KG,actual,Retail,LKR,1908.4,2495.6,2202.0,"the retail price range in sri lanka rupee for blue whiting is between lkr 1,908.40 and lkr 2,495.60 per kilogram or between lkr 865.49 and lkr 1,131.79 per pound(lb) in colombo and jaffna."
Bok choy,Colombo City,KG,actual,Retail,LKR,744.85,1340.72,1042.79,"the retail price range in sri lanka rupee for bok choy is between lkr 744.85 and lkr 1,340.72 per kilogram or between lkr 337.80 and lkr 608.04 per pound(lb) in colombo and jaffna."
Bonito Fish,Colombo City,KG,actual,Retail,LKR,1286.12,2118.31,1702.21,"the retail price range in sri lanka rupee for bonito fish is between lkr 1,286.12 and lkr 2,118.31 per kilogram or between lkr 583.27 and lkr 960.68 per pound(lb) in colombo and jaffna."
Boysenberries,Colombo City,KG,actual,Retail,LKR,1415.5,1937.0,1676.25,"the retail price range in sri lanka rupee for boysenberries is between lkr 1,415.50 and lkr 1,937.00 per kilogram or between lkr 641.95 and lkr 878.46 per pound(lb) in colombo and jaffna."
Brazil Nuts,Colombo City,KG,actual,Retail,LKR,2929.07,4101.87,3515.47,"the retail price range in sri lanka rupee for brazil nuts is between lkr 2,929.07 and lkr 4,101.87 per kilogram or between lkr 1,328.38 and lkr 1,860.26 per pound(lb) in colombo and jaffna."
Breadfruit,Colombo City,KG,actual,Retail,LKR,3377.47,4868.43,4122.95,"the retail price range in sri lanka rupee for breadfruit is between lkr 3,377.47 and lkr 4,868.43 per kilogram or between lkr 1,531.73 and lkr 2,207.91 per pound(lb) in colombo and jaffna."
Breadnut,Colombo City,KG,actual,Retail,LKR,733.77,1320.78,1027.28,"the retail price range in sri lanka rupee for breadnut is between lkr 733.77 and lkr 1,320.78 per kilogram or between lkr 332.78 and lkr 599.00 per pound(lb) in colombo and jaffna."
Broomcorn millet,Colombo City,KG,actual,Retail,LKR,1961.6,2414.28,2187.94,"the retail price range in sri lanka rupee for broomcorn millet is between lkr 1,961.60 and lkr 2,414.28 per kilogram or between lkr 889.61 and lkr 1,094.91 per pound(lb) in colombo and jaffna."
Brown rice,Colombo City,KG,actual,Retail,LKR,411.04,734.0,572.52,the retail price range in sri lanka rupee for  brown rice is between lkr 411.04 and lkr 734.00 per kilogram or between lkr 186.41 and lkr 332.88 per pound(lb) in colombo and jaffna.
Brussels sprouts,Colombo City,KG,actual,Retail,LKR,879.37,8793.69,4836.53,"the retail price range in sri lanka rupee for brussels sprouts is between lkr 879.37 and lkr 8,793.69 per kilogram or between lkr 398.81 and lkr 3,988.07 per pound(lb) in colombo and jaffna."
Buckwheat,Colombo City,KG,actual,Retail,LKR,841.38,1051.72,946.55,"the retail price range in sri lanka rupee for buckwheat is between lkr 841.38 and lkr 1,051.72 per kilogram or between lkr 381.58 and lkr 476.97 per pound(lb) in colombo and jaffna."
Buckwheet,Colombo City,KG,actual,Retail,LKR,1467.67,2350.04,1908.86,"the retail price range in sri lanka rupee for buckwheet is between lkr 1,467.67 and lkr 2,350.04 per kilogram or between lkr 665.61 and lkr 1,065.78 per pound(lb) in colombo and jaffna."
Bulgur wheat,Colombo City,KG,actual,Retail,LKR,1121.42,1555.04,1338.23,"the retail price range in sri lanka rupee for bulgur wheat is between lkr 1,121.42 and lkr 1,555.04 per kilogram or between lkr 508.58 and lkr 705.23 per pound(lb) in colombo and jaffna."
Bulgur,Colombo City,KG,actual,Retail,LKR,1731.55,2183.25,1957.4,"the retail price range in sri lanka rupee for bulgur is between lkr 1,731.55 and lkr 2,183.25 per kilogram or between lkr 785.28 and lkr 990.14 per pound(lb) in colombo and jaffna."
Butter,Colombo City,KG,actual,Retail,LKR,654.59,2058.16,1356.38,"the retail price range in sri lanka rupee for butter is between lkr 654.59 and lkr 2,058.16 per kilogram or between lkr 296.87 and lkr 933.41 per pound(lb) in colombo and jaffna."
Butternut squash,Colombo City,KG,actual,Retail,LKR,606.52,1364.68,985.6,"the retail price range in sri lanka rupee for butternut squash is between lkr 606.52 and lkr 1,364.68 per kilogram or between lkr 275.07 and lkr 618.90 per pound(lb) in colombo and jaffna."
Cabbages,Colombo City,KG,actual,Retail,LKR,168.98,246.06,207.52,the retail price range in sri lanka rupee for cabbages is between lkr 168.98 and lkr 246.06 per kilogram or between lkr 76.64 and lkr 111.59 per pound(lb) in colombo and jaffna.
Camel Meat,Colombo City,KG,actual,Retail,LKR,1512.92,3177.14,2345.03,"the retail price range in sri lanka rupee for camel meat is between lkr 1,512.92 and lkr 3,177.14 per kilogram or between lkr 686.13 and lkr 1,440.88 per pound(lb) in colombo and jaffna."
Canary seed,Colombo City,KG,actual,Retail,LKR,1029.32,1764.55,1396.93,"the retail price range in sri lanka rupee for canary seed is between lkr 1,029.32 and lkr 1,764.55 per kilogram or between lkr 466.81 and lkr 800.25 per pound(lb) in colombo and jaffna."
Canola Oil,Colombo City,KG,actual,Retail,LKR,229.63,292.25,260.94,the retail price range in sri lanka rupee for canola oil is between lkr 229.63 and lkr 292.25 per kilogram or between lkr 104.14 and lkr 132.54 per pound(lb) in colombo and jaffna.
Capers,Colombo City,KG,actual,Retail,LKR,1024.15,2926.15,1975.15,"the retail price range in sri lanka rupee for capers is between lkr 1,024.15 and lkr 2,926.15 per kilogram or between lkr 464.47 and lkr 1,327.05 per pound(lb) in colombo and jaffna."
Capsicum (Bell Pepper),Colombo City,KG,actual,Retail,LKR,995.89,1542.12,1269.0,"the retail price range in sri lanka rupee for capsicum (bell pepper) is between lkr 995.89 and lkr 1,542.12 per kilogram or between lkr 451.65 and lkr 699.37 per pound(lb) in colombo and jaffna."
Caraway seeds,Colombo City,KG,actual,Retail,LKR,891.04,1416.22,1153.63,"the retail price range in sri lanka rupee for caraway seeds is between lkr 891.04 and lkr 1,416.22 per kilogram or between lkr 404.10 and lkr 642.28 per pound(lb) in colombo and jaffna."
Cardamom,Colombo City,KG,actual,Retail,LKR,2979.79,5067.72,4023.76,"the retail price range in sri lanka rupee for cardamom is between lkr 2,979.79 and lkr 5,067.72 per kilogram or between lkr 1,351.38 and lkr 2,298.29 per pound(lb) in colombo and jaffna."
Carnations,Colombo City,KG,actual,Retail,LKR,1205.91,2562.55,1884.23,"the retail price range in sri lanka rupee for carnations is between lkr 1,205.91 and lkr 2,562.55 per kilogram or between lkr 546.90 and lkr 1,162.16 per pound(lb) in colombo and jaffna."
Carp Fish,Colombo City,KG,actual,Retail,LKR,1055.38,2713.85,1884.62,"the retail price range in sri lanka rupee for carp fish is between lkr 1,055.38 and lkr 2,713.85 per kilogram or between lkr 478.63 and lkr 1,230.77 per pound(lb) in colombo and jaffna."
Carrots,Colombo City,KG,actual,Retail,LKR,813.81,2265.32,1539.57,"the retail price range in sri lanka rupee for carrots is between lkr 813.81 and lkr 2,265.32 per kilogram or between lkr 369.08 and lkr 1,027.35 per pound(lb) in colombo and jaffna."
Cashew butter,Colombo City,KG,actual,Retail,LKR,6696.12,7609.23,7152.67,"the retail price range in sri lanka rupee for cashew butter is between lkr 6,696.12 and lkr 7,609.23 per kilogram or between lkr 3,036.79 and lkr 3,450.90 per pound(lb) in colombo and jaffna."
Cashew Nuts,Colombo City,KG,actual,Retail,LKR,1316.49,2559.85,1938.17,"the retail price range in sri lanka rupee for cashew nuts is between lkr 1,316.49 and lkr 2,559.85 per kilogram or between lkr 597.05 and lkr 1,160.93 per pound(lb) in colombo and jaffna."
Cassava Flour,Colombo City,KG,actual,Retail,LKR,242.97,731.85,487.41,the retail price range in sri lanka rupee for cassava flour is between lkr 242.97 and lkr 731.85 per kilogram or between lkr 110.19 and lkr 331.90 per pound(lb) in colombo and jaffna.
Cassava,Colombo City,KG,actual,Retail,LKR,223.96,373.27,298.62,the retail price range in sri lanka rupee for cassava is between lkr 223.96 and lkr 373.27 per kilogram or between lkr 101.57 and lkr 169.28 per pound(lb) in colombo and jaffna.
Castor Oil,Colombo City,KG,actual,Retail,LKR,8894.77,14824.62,11859.69,"the retail price range in sri lanka rupee for castor oil is between lkr 8,894.77 and lkr 14,824.62 per kilogram or between lkr 4,033.91 and lkr 6,723.18 per pound(lb) in colombo and jaffna."
Castor (Ricinus) Seeds,Colombo City,KG,actual,Retail,LKR,664.83,994.28,829.56,the retail price range in sri lanka rupee for castor (ricinus) seeds is between lkr 664.83 and lkr 994.28 per kilogram or between lkr 301.51 and lkr 450.92 per pound(lb) in colombo and jaffna.
Catfish,Colombo City,KG,actual,Retail,LKR,2086.65,4024.25,3055.45,"the retail price range in sri lanka rupee for catfish is between lkr 2,086.65 and lkr 4,024.25 per kilogram or between lkr 946.32 and lkr 1,825.05 per pound(lb) in colombo and jaffna."
Cauliflowers and broccoli,Colombo City,KG,actual,Retail,LKR,210.78,933.43,572.11,the retail price range in sri lanka rupee for cauliflowers and broccoli is between lkr 210.78 and lkr 933.43 per kilogram or between lkr 95.59 and lkr 423.33 per pound(lb) in colombo and jaffna.
Caviar,Colombo City,KG,actual,Retail,LKR,4555.38,12147.69,8351.53,"the retail price range in sri lanka rupee for caviar is between lkr 4,555.38 and lkr 12,147.69 per kilogram or between lkr 2,065.93 and lkr 5,509.16 per pound(lb) in colombo and jaffna."
Celery,Colombo City,KG,actual,Retail,LKR,447.42,507.07,477.25,the retail price range in sri lanka rupee for celery is between lkr 447.42 and lkr 507.07 per kilogram or between lkr 202.91 and lkr 229.96 per pound(lb) in colombo and jaffna.
Cereal Pellets,Colombo City,KG,actual,Retail,LKR,132.39,628.86,380.62,the retail price range in sri lanka rupee for cereal pellets is between lkr 132.39 and lkr 628.86 per kilogram or between lkr 60.04 and lkr 285.20 per pound(lb) in colombo and jaffna.
Cheese,Colombo City,KG,actual,Retail,LKR,666.8,1484.08,1075.44,"the retail price range in sri lanka rupee for cheese is between lkr 666.80 and lkr 1,484.08 per kilogram or between lkr 302.41 and lkr 673.05 per pound(lb) in colombo and jaffna."
Cherries,Colombo City,KG,actual,Retail,LKR,3040.0,6080.0,4560.0,"the retail price range in sri lanka rupee for cherries is between lkr 3,040.00 and lkr 6,080.00 per kilogram or between lkr 1,378.68 and lkr 2,757.37 per pound(lb) in colombo and jaffna."
Chestnuts,Colombo City,KG,actual,Retail,LKR,1025.23,1757.54,1391.38,"the retail price range in sri lanka rupee for chestnuts is between lkr 1,025.23 and lkr 1,757.54 per kilogram or between lkr 464.96 and lkr 797.07 per pound(lb) in colombo and jaffna."
Chia seeds,Colombo City,KG,actual,Retail,LKR,3986.86,5020.49,4503.68,"the retail price range in sri lanka rupee for chia seeds is between lkr 3,986.86 and lkr 5,020.49 per kilogram or between lkr 1,808.10 and lkr 2,276.87 per pound(lb) in colombo and jaffna."
Chicken Fat,Colombo City,KG,actual,Retail,LKR,249.96,502.89,376.43,the retail price range in sri lanka rupee for chicken fat is between lkr 249.96 and lkr 502.89 per kilogram or between lkr 113.36 and lkr 228.07 per pound(lb) in colombo and jaffna.
Chicken Meat,Colombo City,KG,actual,Retail,LKR,233.85,526.15,380.0,the retail price range in sri lanka rupee for chicken meat is between lkr 233.85 and lkr 526.15 per kilogram or between lkr 106.05 and lkr 238.62 per pound(lb) in colombo and jaffna.
Chickpeas,Colombo City,KG,actual,Retail,LKR,225.67,358.06,291.87,the retail price range in sri lanka rupee for chickpeas is between lkr 225.67 and lkr 358.06 per kilogram or between lkr 102.34 and lkr 162.39 per pound(lb) in colombo and jaffna.
Chicory roots,Colombo City,KG,actual,Retail,LKR,3385.09,4850.14,4117.61,"the retail price range in sri lanka rupee for chicory roots is between lkr 3,385.09 and lkr 4,850.14 per kilogram or between lkr 1,535.19 and lkr 2,199.61 per pound(lb) in colombo and jaffna."
Chicory,Colombo City,KG,actual,Retail,LKR,2991.08,4037.95,3514.51,"the retail price range in sri lanka rupee for chicory is between lkr 2,991.08 and lkr 4,037.95 per kilogram or between lkr 1,356.50 and lkr 1,831.27 per pound(lb) in colombo and jaffna."
Chocolate,Colombo City,KG,actual,Retail,LKR,134.43,1120.27,627.35,"the retail price range in sri lanka rupee for chocolate is between lkr 134.43 and lkr 1,120.27 per kilogram or between lkr 60.97 and lkr 508.06 per pound(lb) in colombo and jaffna."
Chrysanthemums,Colombo City,KG,actual,Retail,LKR,453.23,755.38,604.31,the retail price range in sri lanka rupee for chrysanthemums is between lkr 453.23 and lkr 755.38 per kilogram or between lkr 205.55 and lkr 342.58 per pound(lb) in colombo and jaffna.
Cinnamon,Colombo City,KG,actual,Retail,LKR,8189.92,16945.7,12567.81,"the retail price range in sri lanka rupee for cinnamon is between lkr 8,189.92 and lkr 16,945.70 per kilogram or between lkr 3,714.25 and lkr 7,685.12 per pound(lb) in colombo and jaffna."
Citrus fruit peel,Colombo City,KG,actual,Retail,LKR,260.12,1031.5,645.81,"the retail price range in sri lanka rupee for citrus fruit peel is between lkr 260.12 and lkr 1,031.50 per kilogram or between lkr 117.97 and lkr 467.80 per pound(lb) in colombo and jaffna."
Citrus fruit,Colombo City,KG,actual,Retail,LKR,242.82,617.29,430.05,the retail price range in sri lanka rupee for citrus fruit is between lkr 242.82 and lkr 617.29 per kilogram or between lkr 110.12 and lkr 279.95 per pound(lb) in colombo and jaffna.
Citrus Fruits,Colombo City,KG,actual,Retail,LKR,221.68,1330.06,775.87,"the retail price range in sri lanka rupee for citrus fruits is between lkr 221.68 and lkr 1,330.06 per kilogram or between lkr 100.53 and lkr 603.20 per pound(lb) in colombo and jaffna."
Citrus Juice,Colombo City,KG,actual,Retail,LKR,131.79,717.51,424.65,the retail price range in sri lanka rupee for citrus juice is between lkr 131.79 and lkr 717.51 per kilogram or between lkr 59.77 and lkr 325.40 per pound(lb) in colombo and jaffna.
"Clams, cockles and ark shells",Colombo City,KG,actual,Retail,LKR,4589.91,7491.91,6040.91,"the retail price range in sri lanka rupee for clams, cockles and ark shells is between lkr 4,589.91 and lkr 7,491.91 per kilogram or between lkr 2,081.59 and lkr 3,397.69 per pound(lb) in colombo and jaffna."
Clementines,Colombo City,KG,actual,Retail,LKR,1379.68,2702.26,2040.97,"the retail price range in sri lanka rupee for clementines is between lkr 1,379.68 and lkr 2,702.26 per kilogram or between lkr 625.71 and lkr 1,225.51 per pound(lb) in colombo and jaffna."
Clover seeds,Colombo City,KG,actual,Retail,LKR,1466.6,4111.77,2789.19,"the retail price range in sri lanka rupee for clover seeds is between lkr 1,466.60 and lkr 4,111.77 per kilogram or between lkr 665.12 and lkr 1,864.75 per pound(lb) in colombo and jaffna."
Cloves,Colombo City,KG,actual,Retail,LKR,2583.74,4711.52,3647.63,"the retail price range in sri lanka rupee for cloves is between lkr 2,583.74 and lkr 4,711.52 per kilogram or between lkr 1,171.76 and lkr 2,136.75 per pound(lb) in colombo and jaffna."
Clums,Colombo City,KG,actual,Retail,LKR,5929.23,8893.85,7411.54,"the retail price range in sri lanka rupee for clums is between lkr 5,929.23 and lkr 8,893.85 per kilogram or between lkr 2,688.99 and lkr 4,033.49 per pound(lb) in colombo and jaffna."
Cobia Fish,Colombo City,KG,actual,Retail,LKR,1623.26,2803.82,2213.54,"the retail price range in sri lanka rupee for cobia fish is between lkr 1,623.26 and lkr 2,803.82 per kilogram or between lkr 736.17 and lkr 1,271.57 per pound(lb) in colombo and jaffna."
Coca leaf,Colombo City,KG,actual,Retail,LKR,1474.31,2948.62,2211.47,"the retail price range in sri lanka rupee for coca leaf is between lkr 1,474.31 and lkr 2,948.62 per kilogram or between lkr 668.62 and lkr 1,337.24 per pound(lb) in colombo and jaffna."
Cocoa Beans,Colombo City,KG,actual,Retail,LKR,1306.46,2133.18,1719.82,"the retail price range in sri lanka rupee for cocoa beans is between lkr 1,306.46 and lkr 2,133.18 per kilogram or between lkr 592.50 and lkr 967.43 per pound(lb) in colombo and jaffna."
Cocoa Butter,Colombo City,KG,actual,Retail,LKR,2216.77,4581.32,3399.05,"the retail price range in sri lanka rupee for cocoa butter is between lkr 2,216.77 and lkr 4,581.32 per kilogram or between lkr 1,005.34 and lkr 2,077.70 per pound(lb) in colombo and jaffna."
Cacao (Cocoa)paste,Colombo City,KG,actual,Retail,LKR,281.81,2370.2,1326.0,"the retail price range in sri lanka rupee for cacao (cocoa)paste is between lkr 281.81 and lkr 2,370.20 per kilogram or between lkr 127.81 and lkr 1,074.92 per pound(lb) in colombo and jaffna."
Cocoa Powder (Solids),Colombo City,KG,actual,Retail,LKR,1925.3,2718.93,2322.11,"the retail price range in sri lanka rupee for cocoa powder (solids) is between lkr 1,925.30 and lkr 2,718.93 per kilogram or between lkr 873.15 and lkr 1,233.08 per pound(lb) in colombo and jaffna."
"Cocoa shells, husks, skins",Colombo City,KG,actual,Retail,LKR,8.91,23.77,16.34,"the retail price range in sri lanka rupee for cocoa shells, husks, skins is between lkr 8.91 and lkr 23.77 per kilogram or between lkr 4.04 and lkr 10.78 per pound(lb) in colombo and jaffna."
Coconut flour,Colombo City,KG,actual,Retail,LKR,2649.19,3125.45,2887.32,"the retail price range in sri lanka rupee for coconut flour is between lkr 2,649.19 and lkr 3,125.45 per kilogram or between lkr 1,201.45 and lkr 1,417.44 per pound(lb) in colombo and jaffna."
Coconut oil,Colombo City,KG,actual,Retail,LKR,1054.31,3464.15,2259.23,"the retail price range in sri lanka rupee for coconut oil is between lkr 1,054.31 and lkr 3,464.15 per kilogram or between lkr 478.14 and lkr 1,571.04 per pound(lb) in colombo and jaffna."
Coconuts,Colombo City,KG,actual,Retail,LKR,225.48,375.81,300.64,the retail price range in sri lanka rupee for coconuts is between lkr 225.48 and lkr 375.81 per kilogram or between lkr 102.26 and lkr 170.43 per pound(lb) in colombo and jaffna.
