Main Meal,Side Meal,Complete Meal,Ingredients,Quantities,Meal_Ingredient_Ids,Energy(Kcal),Protein(g),Total fat(g),Carbohydrates(g),Total Dietary Fibre(g),Vitamin A(µg),Vitamin D(µg),Viatmin K(µg),Vitamin E(mg),Calcium(mg),Phosphorus(mg),Magnesium(mg),Sodium(mg),Potassium(mg),Saturated Fatty Acids(mg),Monounsaturated Fatty Acids(mg),Polyunsaturated Fatty Acids(mg),Free sugar(g),Starch(g)
Kiribath,Seeni Sambol,Kiribath with Seeni Sambol,"Rice,  Coconut milk, Onion,  Sugar,  chillii","85.0, 15.0, 50.0, 5.0, 5.0","SLA009, SLI005, SLD060, SLI011, SLK002",912.9,17.187,56.3805,165.88600000000002,24.089,32.43599999999999,7.0634999999999994,252.99400000000003,6.264499999999999,80.06150000000001,416.194,190.383,33.158500000000004,1320.9,37235.95849999999,3641.927,1837.5215,91.8765,66.73349999999999
Kiribath,Chicken Curry,Kiribath with Chicken Curry,"Rice,  Coconut milk, Chicken,  Spices","85.0, 25.0, 40.0, 5.0","SLA009, SLI005, SLH006, SLK006",895.9000000000001,42.032500000000006,77.996,82.42450000000001,55.913000000000004,25.822999999999997,1.1050000000000002,59.2535,5.576,661.1215,737.8000000000001,423.555,70.5925,2148.8,38506.7,13512.45,3511.35,7.667,68.65449999999998
Pittu,Lunu Miris,Pittu with Lunu Miris,"Rice flour,  Coconut, Onion,  Chili,  Salt","25.0, 10.0, 20.0, 50.0, 30.0","SLI019, SLI005, SLD060, SLK002, SLE028, SLK011",207.5,7.220000000000001,16.532500000000006,30.245,8.742500000000001,9.629999999999999,3.4475,76.21000000000001,1.9375,34.2625,141.52499999999998,64.4725,12.595,512.48,10960.542500000001,1019.2725,519.88,4.075,23.474999999999998
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH006, SLK006, SLI005",1056.0,49.28,91.48,98.79,63.77,30.38,1.3,69.6,6.550000000000001,779.63,836.0,488.78000000000003,83.53000000000002,2514.0,45377.0,15707.0,4012.0,8.98,81.34
Lamprais,Chicken Curry,Lamprais with Chicken Curry,"Rice,  Meat,  Spices, Chicken,  Coconut milk","100.0, 30.0, 15.0, 40.0, 10.0","SLA008, SLH006, SLK006, SLI005",1056.0,49.28,91.48,98.79,63.77,30.38,1.3,69.6,6.550000000000001,779.63,836.0,488.78000000000003,83.53000000000002,2514.0,45377.0,15707.0,4012.0,8.98,81.34
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006",891.6499999999999,43.0865,77.486,81.6425,55.21600000000001,25.822999999999997,1.1050000000000002,59.4065,5.567499999999999,663.0,699.55,418.9565,70.5415,2079.882,38437.85,13291.45,3371.95,7.581999999999999,67.92349999999999
String Hoppers,Pol Sambol,String Hoppers with Pol Sambol,"Rice flour, Coconut,  Chili,  Onion, Lime, Garlic","85.0, 50.0, 5.0, 10.0, 3.0, 3.0","SLI019, SLI005, SLK002, SLD060, SLE028, SLK011",705.5,24.548000000000002,56.210499999999996,102.83300000000001,29.7245,32.74199999999999,11.7215,259.114,6.587499999999999,116.49249999999999,481.185,219.2065,42.823,1742.432,37265.84449999999,3465.5265000000004,1767.592,13.855,79.815
String Hoppers,Parippu,String Hoppers with Parippu,"Rice flour, Dhal,  Coconut milk, Termeric powder","85.0, 10.0, 10.0, 5.0","SLI019, SLC009, SLI005, SLK019",1033.6,40.562000000000005,59.942,160.0975,42.712500000000006,8.6615,15.232,19.787999999999997,7.361000000000001,163.37850000000003,811.75,349.639,46.5885,3378.682,38503.351,3802.05,3192.6,8.261999999999999,137.14749999999998
String Hoppers,Jackfruit Curry,String Hoppers with Jackfruit Curry,"Rice flour, Jackfruit,  Coconut milk, curry leaves","85.0, 15.0, 10.0, 5.0","SLI019, SLD049, SLI005, SLK009",594.1499999999999,22.525000000000002,56.176500000000004,78.12349999999999,37.179,1180.65,112.0895,250.767,6.2219999999999995,644.521,380.5195,269.2715,35.7935,1423.682,37230.74799999999,3454.0600000000004,1787.5500000000002,7.819999999999999,65.96849999999999
String Hoppers,Chicken Curry,String Hoppers with Chicken Curry,"Rice flour, Chicken,  Coconut milk,  Spices","85.0, 40.0, 10.0, 5.0","SLI019, SLH006, SLI005, SLK006",891.6499999999999,43.0865,77.486,81.6425,55.21600000000001,25.822999999999997,1.1050000000000002,59.4065,5.567499999999999,663.0,699.55,418.9565,70.5415,2079.882,38437.85,13291.45,3371.95,7.581999999999999,67.92349999999999
String Hoppers,Potato Curry,String Hoppers with Potato Curry,"Rice flour, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder","85.0, 20.0, 30.0, 10.0, 5.0, 2.0","SLI019, SLB006, SLI005, SLK006, SLK009, SKL019",851.6999999999998,30.948500000000003,70.7285,97.02749999999999,72.20750000000001,1200.625,107.5165,262.42900000000003,7.0295,1236.5545,653.1485,578.4675,64.8635,2794.732,38029.20399999999,12505.012999999999,3644.7999999999997,8.398,80.09549999999999
String Hoppers,Cuttlefish Curry,String Hoppers with Cuttlefish Curry,"Rice flour, Cuttlefish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLK007, SLI005, SLK006",768.3999999999999,26.197000000000003,70.2355,83.55499999999999,59.075,518.075,4.3180000000000005,267.104,5.7204999999999995,770.899,585.905,444.278,84.20949999999999,2140.232,37975.45,12463.0655,3337.1,7.7605,68.92649999999999
String Hoppers,Thalapath Fish Curry,String Hoppers with Thalapath Fish Curry,"Rice flour, Thalapath fish,  Coconut milk,  Spices","85.0, 50.0, 25.0, 10.0","SLI019, SLF019, SLI005, SLK006",819.3999999999999,37.051500000000004,72.08,81.6425,55.21600000000001,30.200499999999998,1.1050000000000002,34.595,5.4399999999999995,656.693,680.0,422.96000000000004,101.26050000000001,2062.882,38767.649999999994,13036.45,3700.05,7.581999999999999,67.92349999999999
String Hoppers,Egg Curry,String Hoppers with Egg Curry,"Rice flour, Egg,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLH001,  SLI005, SLK002",484.49999999999994,21.505000000000003,12.988000000000001,69.632,5.609999999999999,209.236,7.4375,76.6105,2.0570000000000004,65.7305,346.6555,63.104,137.2665,496.332,3733.2000000000003,4607.119000000001,2213.4,0.9179999999999999,65.0675
String Hoppers,Prawn Curry,String Hoppers with Prawn Curry,"Rice flour, Prawn,  Coconut milk,  Chillies","85.0, 50.0, 25.0, 10.0","SLI019, SLF043,  SLI005, SLK002",395.24999999999994,22.958499999999997,2.414,69.632,5.609999999999999,33.489999999999995,6.1370000000000005,24.735,2.8560000000000003,55.25,339.0055,92.76050000000001,163.61649999999997,516.732,612.85,370.3195,885.7,0.9179999999999999,65.0675
String Hoppers,Kochchi Sambol,String Hoppers with Kochchi Sambol,"Rice flour, Green chili,  Coconut","85.0, 10.0, 30.0","SLI019, SLK002, SLI005",556.7499999999999,16.532500000000002,55.6495,77.2395,18.904,32.43599999999999,3.6465,24.497,4.76,52.011500000000005,349.20550000000003,122.077,18.275000000000002,944.2819999999999,37087.2,3416.2690000000002,1613.3000000000002,6.3835,65.0675
String Hoppers,Coconut Sambol,String Hoppers with Coconut Sambol,"Rice flour, Coconut,  Chili,  Onion","85.0, 50.0, 15.0, 20.0","SLI019, SLI005,  SLK002, SLD060",546.55,16.303,55.2245,75.64150000000001,19.788,0.0,3.4169999999999994,233.359,6.052,64.7275,327.0885,154.411,30.608500000000003,929.8319999999999,37056.608499999995,3390.208,1322.4215000000002,5.9415,64.37049999999999
String Hoppers,Kiri Hodi,String Hoppers with Kiri Hodi,"Rice flour, Coconut milk","85.0, 60.0","SLI019, SLI005",523.5999999999999,14.594500000000002,55.0035,72.777,15.3,0.0,0.0,4.709,4.555999999999999,34.799,298.35,90.70349999999999,15.776000000000003,622.132,36976.7,3385.55,1237.6000000000001,5.533499999999999,63.4355
String Hoppers,Maalu Badun,String Hoppers with Maalu Badun,"Rice flour, Fish,  Oil","85.0, 90.0, 15.0","SLI019, SLF035, SLJ002",1167.05,29.223,87.516,65.1695,2.006,14.152499999999998,2.771,12.308,0.5525,14.246000000000002,375.7,52.819,46.27400000000001,378.182,1037.918,536.0355,913.9795000000001,0.068,63.4355
String Hoppers,Spicy Crab,String Hoppers with Spicy Crab,"Rice flour, Crab,  Oil,  chillies","85.0, 70.0, 20.0, 10.0","SLI019, SLF045, SLJ002, SLK002",1143.25,18.836000000000002,87.4055,69.632,5.609999999999999,39.51649999999999,5.0405,23.086,2.2609999999999997,193.9615,308.4055,93.602,263.0665,589.832,668.2615,368.39,910.5795,0.9179999999999999,65.0675
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005",1201.0,61.07,93.72,114.85000000000002,93.65,2677.94,131.5,652.65,10.870000000000001,1551.77,999.51,771.1999999999999,187.35000000000002,3980.0,45955.76,15798.03,5121.79,14.02,90.32
Vegetable Fried Rice,Parippu,Vegetable Fried Rice with Parippu,"Rice, carrot, leeks, onion,  Spices, curry leaves, Dhal,  Coconut milk, Termeric powder","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 10.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC009, SLI005, SLK019",1625.0,68.48,90.29,217.58,125.9,2681.25,149.42,638.74,13.94,1687.98,1426.51,1055.65,193.18,6921.0,46973.82,15304.03,7066.79,17.23,177.04
Vegetable Fried Rice,Wambatu Moju,Vegetable Fried Rice with Wambatu Moju,"Rice, carrot, leeks, onion,  Spices, curry leaves, Eggplant,  Vinegar, tomato sause","100.0, 20.0, 20.0, 10.0, 3.0, 2.5, 20.0, 0.5, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLD019, SLI017, , SLD082",839.0,33.260000000000005,21.839999999999996,113.35000000000002,83.51,2700.06,132.74,757.5999999999999,5.63,1529.91,671.1299999999999,702.48,151.61,3514.0,2276.0499999999997,11207.430000000002,4066.79,9.58,91.95
Vegetable Fried Rice,Chicken Curry,Vegetable Fried Rice with Chicken Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Coconut milk","100.0, 20.0, 20.0, 5.0, 8.0, 2.5, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLI005",1201.0,61.07,93.72,114.85000000000002,93.65,2677.94,131.5,652.65,10.870000000000001,1551.77,999.51,771.1999999999999,187.35000000000002,3980.0,45955.76,15798.03,5121.79,14.02,90.32
Vegetable Fried Rice,Devilled Chicken,Vegetable Fried Rice with Devilled Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 10.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK002",985.0,56.06,31.290000000000003,111.15000000000002,82.25,2716.1,135.79,673.2399999999999,5.83,1538.02,858.34,727.6899999999999,173.28000000000003,3715.0,3053.7599999999998,12174.17,4606.79,8.59,92.24
Vegetable Fried Rice,Devilled Fish,Vegetable Fried Rice with Devilled Fish,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Chili,  Curry leaves, Onion","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 5.0, 5.0, 20.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF006, SLK002",809.0,32.92,22.05,111.15000000000002,82.25,2709.22,135.79,641.5899999999999,5.6,1522.96,681.34,707.51,142.86,3413.0,2275.7599999999998,11190.17,4251.79,8.59,92.24
Vegetable Fried Rice,Ala Badun,Vegetable Fried Rice with Ala Badun,"Rice, carrot, leeks, onion,  Spices, curry leaves, Potato,  Oil, chilli","100.0, 20.0, 20.0, 35.0, 3.0, 2.5, 40.0, 10.0, 5.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB006, SLJ002",1741.0,32.31,121.53999999999999,120.99000000000002,79.73,2671.06,131.69,620.81,5.409999999999999,1512.54,679.48,694.44,144.00000000000003,3575.0,2283.0799999999995,11176.61,3950.06,7.930000000000001,101.69999999999999
Vegetable Fried Rice,Cashew Curry,Vegetable Fried Rice with Cashew Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Cashew,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLI004,  SLI005, SLK002",1389.0,51.39,67.21,136.29000000000002,86.49,2709.22,139.57,643.66,7.1499999999999995,1556.96,1218.34,979.51,151.8,4058.0,9928.76,39371.17,11589.79,11.72,112.35
Vegetable Fried Rice,Green Pea Curry,Vegetable Fried Rice with Green Pea Curry,"Rice, carrot, leeks, onion,  Spices, curry leaves, Green pea,  Coconut milk,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLC007,  SLI005, SLK002",1099.0,54.89,22.98,157.72000000000003,99.53,2728.72,139.4,653.4899999999999,5.96,1621.92,1019.34,853.51,155.33,4540.0,2535.7599999999998,11211.86,4884.79,9.22,137.21999999999997
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002",1041.0,58.29,32.1,120.58000000000001,86.85,2731.12,139.82999999999998,701.7999999999998,6.18,1558.71,904.6700000000001,787.6199999999999,185.01000000000002,4116.0,3277.7599999999998,12245.28,4959.79,9.9,96.07
Vegetable Fried Rice,Fish Cutlets,Vegetable Fried Rice with Fish Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Fish,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLF034,  SLB006,  SLK002",874.0,48.52,24.669999999999998,105.90000000000002,78.01,2685.48,131.5,619.2099999999999,7.029999999999999,1546.0900000000001,832.51,701.49,225.74,3353.0,3849.7599999999998,11978.03,4319.79,7.590000000000001,90.32
Vegetable Fried Rice,Vegetable Cutlets,Vegetable Fried Rice with Vegetable Cutlets,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  Potatoes,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 40.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLB006,  SLK002",770.0,30.640000000000004,21.29,105.90000000000002,78.01,2671.06,131.5,618.31,5.359999999999999,1502.71,621.51,670.6,139.92000000000002,3034.0,2145.7599999999998,11154.03,3809.79,7.590000000000001,90.32
Vegetable Fried Rice,Tapioca Chips,Vegetable Fried Rice with Tapioca Chips,"Rice, carrot, leeks, onion,  Spices, curry leaves, Tapioca,  Oil,  Salt,  chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 20.0, 10.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLB011,  SLJ002,  SLK002",848.0,31.560000000000002,21.48,123.48000000000002,82.76,2671.06,131.63,618.31,5.529999999999999,1522.49,666.41,694.33,150.67000000000002,3310.0,2204.2499999999995,11163.91,3893.41,9.780000000000001,105.55999999999999
Vegetable Fried Rice,potatoe cheese Balls,Vegetable Fried Rice with potatoe cheese Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, cheese,  Potatoes,  pepper","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 60.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLG002,  SLB006,  SLK018",1150.0,50.39,49.56,117.57000000000002,78.01,2869.06,131.5,618.31,5.359999999999999,2145.71,1177.51,670.6,1443.92,3034.0,2145.7599999999998,11154.03,3809.79,7.590000000000001,90.32
Vegetable Fried Rice,Vegetable Balls,Vegetable Fried Rice with Vegetable Balls,"Rice, carrot, leeks, onion,  Spices, curry leaves, Carrot,  leeks,  Jackfruit","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 30.0, 50.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009,  SLD055,  SLD049,  SLB006,  SLK018",770.0,30.640000000000004,21.29,105.90000000000002,78.01,2671.06,131.5,618.31,5.359999999999999,1502.71,621.51,670.6,139.92000000000002,3034.0,2145.7599999999998,11154.03,3809.79,7.590000000000001,90.32
Vegetable Fried Rice,Ginger Chicken,Vegetable Fried Rice with Ginger Chicken,"Rice, carrot, leeks, onion,  Spices, curry leaves, Chicken,  Ginger,  Chillies","100.0, 20.0, 20.0, 5.0, 3.0, 2.5, 50.0, 25.0, 10.0","SLA008, SLB002, SLD055, SLD060, SLK006, SLK009, SLH006, SLK012, SLK002",1041.0,58.29,32.1,120.58000000000001,86.85,2731.12,139.82999999999998,701.7999999999998,6.18,1558.71,904.6700000000001,787.6199999999999,185.01000000000002,4116.0,3277.7599999999998,12245.28,4959.79,9.9,96.07
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005",1201.0,61.07,93.72,114.85000000000002,93.65,2677.94,131.5,652.6500000000001,10.870000000000001,1551.77,999.51,771.1999999999999,187.35,3980.0,45955.76,15798.03,5121.79,14.02,90.32
Chicken Fried Rice,Wambatu Moju,Chicken Fried Rice with Wambatu Moju,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Eggplant,  Vinegar, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 20.0, 0.5, 5.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLD019, SLI017, , SLD082",1015.0,56.400000000000006,31.08,113.35000000000002,83.51,2706.94,132.74,789.25,5.86,1544.97,848.1299999999999,722.66,182.03,3816.0,3054.05,12191.430000000002,4421.79,9.58,91.95
Chicken Fried Rice,Chicken Curry,Chicken Fried Rice with Chicken Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI005",1201.0,61.07,93.72,114.85000000000002,93.65,2677.94,131.5,652.6500000000001,10.870000000000001,1551.77,999.51,771.1999999999999,187.35,3980.0,45955.76,15798.03,5121.79,14.02,90.32
Chicken Fried Rice,Devilled Chicken,Chicken Fried Rice with Devilled Chicken,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Chicken,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 10.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLK002",985.0,56.06,31.290000000000003,111.15000000000002,82.25,2716.1,135.79,673.24,5.83,1538.02,858.34,727.6899999999999,173.28,3715.0,3053.76,12174.17,4606.79,8.59,92.24
Chicken Fried Rice,Devilled Fish,Chicken Fried Rice with Devilled Fish,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Fish,  Chili,  Curry leaves","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 5.0, 5.0, 20.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLF006, SLK002",985.0,56.06,31.290000000000003,111.15000000000002,82.25,2716.1,135.79,673.24,5.83,1538.02,858.34,727.6899999999999,173.28,3715.0,3053.76,12174.17,4606.79,8.59,92.24
Chicken Fried Rice,Ala Badun,Chicken Fried Rice with Ala Badun,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Potato,  Oil, onion","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 40.0, 10.0, 30.0, 5.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLB006, SLJ002",1917.0,55.45,130.78,120.99000000000002,79.73,2677.94,131.69,652.46,5.64,1527.6,856.48,714.62,174.42000000000002,3877.0,3061.08,12160.61,4305.06,7.930000000000001,101.69999999999999
Chicken Fried Rice,Cashew Curry,Chicken Fried Rice with Cashew Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Cashew,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLI004,  SLI005, SLK002",1565.0,74.53,76.45,136.29000000000002,86.49,2716.1,139.57,675.3100000000001,7.38,1572.02,1395.34,999.6899999999999,182.22,4360.0,10706.76,40355.17,11944.79,11.72,112.35
Chicken Fried Rice,Green Pea Curry,Chicken Fried Rice with Green Pea Curry,"Rice,  Chicken,  onion,  carrot, leeks, Spices, curry leaves, Green pea,  Coconut milk","100.0, 50.0, 20.0, 20.0, 5.0, 5.0, 50.0, 25.0, 10.0","SLA008, SLH006, SLD060, SLB002, SLD055, SLK006, SLK009, SLC007,  SLI005, SLK002",1275.0,78.03,32.22,157.72000000000003,99.53,2735.6,139.4,685.14,6.19,1636.98,1196.34,873.6899999999999,185.75,4842.0,3313.76,12195.86,5239.79,9.22,137.21999999999997
